,ReplayFingerPrint,TeamName,Team,Battletag
7838,450ba248-942c-4884-37ce-2f031cee473a,30 seconds to mosh,1,5
7887,45655dde-2b45-a8fd-e91f-2b177a97bd4a,out of pocket,1,5
7915,4595d056-6236-e077-0aac-826592e9a716,30 seconds to mosh,1,5
7979,462836be-38a4-830b-d6f9-87aef1910d1a,30 seconds to mosh,1,5
8008,467322aa-3040-5a21-126c-27a0f5ccad2e,ff & the pancakes,0,5
8025,46a6b772-72dd-4526-db80-e6b53dc804f2,ff & the pancakes,0,5
8028,46b5d8ef-466d-d1fc-d8e2-98756c5bd472,out of pocket,0,5
8047,46fc8fbf-283a-3a38-2a6c-d2a70f2ec553,30 seconds to mosh,1,5
8097,47718fa8-55ac-c78c-cd33-b3759c8a4a29,infernal misfits,1,5
8118,47aa1b62-4933-64f2-fc14-c906b722ca27,ff & the pancakes,1,5
8119,47aa1b62-4933-64f2-fc14-c906b722ca27,ltk - we hate obj,0,5
8199,4837a4b2-5973-4af5-b521-835f99fd2eb6,30 seconds to mosh,1,5
8231,487043d3-675f-c68d-faf4-e06a0fbc4133,ff & the pancakes,1,5
8237,488429b4-8c78-78b1-70ec-0a67752055fa,ff & the pancakes,1,5
8303,492fe689-e25f-91fc-ced6-e6ca08a52be2,ff & the pancakes,1,5
8335,49790dee-28df-1bcd-b1ba-aa39efe89188,30 seconds to mosh,0,5
8344,49892df6-cf50-a7d3-1de6-f0e402755beb,ff & the pancakes,1,5
8395,49f56cd3-95b3-800a-dd3f-c701a940fc9f,30 seconds to mosh,1,5
8396,49f56cd3-95b3-800a-dd3f-c701a940fc9f,souls in slowmo,0,5
8412,4a1be1ae-2935-3653-4600-3c4a372b89ac,ycmyccastep7:cheeseawakens,0,5
8483,4ac93a3b-0ce3-1315-a097-2d4f4024f248,ff & the pancakes,0,5
8672,4c82ed5d-31f8-82e3-a445-96aee1d0205c,30 seconds to mosh,1,5
8854,4e105d9f-717d-324f-9a93-e6de6bd4ea73,ff & the pancakes,1,5
8883,4e3eab57-ec1a-3852-688c-91f91acb12fd,30 seconds to mosh,1,5
8934,4e93495d-5d9b-9229-b397-1f2b29ad30c9,ff & the pancakes,0,5
8946,4eb3709c-0458-2665-f751-3a6aea6f4583,out of pocket,0,5
8996,4f0c8da7-2cff-002e-4746-9673fce954bd,30 seconds to mosh,0,5
9035,4f5b4057-7911-2e8b-adb3-61dbce28de22,out of pocket,0,5
9066,4fa549a3-a1fe-2d12-c055-8cd3c4ed00ea,ff & the pancakes,1,5
9070,4faadf3b-3e09-03ea-8b5f-7101672696e0,30 seconds to mosh,1,5
9071,4faafe8b-ec3f-362e-c01b-486f86f9bfc7,ff & the pancakes,0,5
9090,4fdc01c3-7f7a-b450-9697-93ac36fedcb3,ff & the pancakes,0,5
9160,505eda73-8bbb-860a-4c6e-de4a97fdcf03,ff & the pancakes,0,5
9266,514638a6-5814-b63a-55b9-2cddae8f6d40,ff & the pancakes,0,5
9332,51f2fbfa-e136-895f-cb3a-1d6869d37667,ff & the pancakes,1,5
9357,522b2be8-4de0-3ece-b8a5-24f7cf425d59,ff & the pancakes,1,5
9358,522b2be8-4de0-3ece-b8a5-24f7cf425d59,gold dragons,0,5
9389,526d3cba-e90a-0c33-4614-c64757e34111,ff & the pancakes,0,5
9397,52788280-5c5a-4de9-61a6-6d88b9ac71e3,ff & the pancakes,1,5
9401,527da344-0ca9-4600-588b-ec5c325ccc65,30 seconds to mosh,0,5
9402,527da344-0ca9-4600-588b-ec5c325ccc65,ltk - we hate obj,1,5
9407,528be483-ad6d-a369-f4ca-088fd347851a,out of pocket,0,5
9409,528e2308-db5b-560b-bbda-8c7841ee79ef,ff & the pancakes,1,5
9472,5326a455-d8da-90c3-9f9f-16a64c18c35d,ff & the pancakes,0,5
9506,536dad3e-6092-1adb-510b-b8de108813e2,souls in slowmo,1,5
9511,53772f59-8cd6-7834-832f-e2d0d7d97d59,beyonce gnolls,1,5
9528,5398cd1d-ff93-768e-fa72-52c2e4ab7553,ff & the pancakes,1,5
9536,53ad201c-0a6c-fcd5-e13a-714693a3fa9f,30 seconds to mosh,0,5
9573,53f6fb5b-9a99-ff6c-bd34-66f12d288ce5,out of pocket,0,5
9622,54581857-8334-f5be-9654-262b62931382,30 seconds to mosh,1,5
9658,54b139f3-98fb-82e5-e109-f38be5fb135d,30 seconds to mosh,0,5
9661,54b5b29f-0d8f-fe02-500d-3d9d97cd5bac,ycmyccastep7:cheeseawakens,1,5
9665,54c0a271-f239-aa48-83cc-bbd24ec74909,30 seconds to mosh,0,5
9732,5545c7bb-3547-09ee-eca6-bd6c28e133a5,ycmyccastep7:cheeseawakens,0,5
9752,5565af6c-5fc8-5c5e-558b-857228f584f9,30 seconds to mosh,1,5
9758,55751002-e61e-7fa2-68c2-bc385042901f,ff & the pancakes,0,5
9774,5596028e-a69e-d4a6-2557-16107a929eeb,infernal misfits,0,5
9775,5596028e-a69e-d4a6-2557-16107a929eeb,souls in slowmo,1,5
9867,5663d255-bccf-26be-1764-5c30c968c019,out of pocket,1,5
9902,56a82274-64f5-c8eb-7013-2728841d29b2,30 seconds to mosh,0,5
9989,57652994-df76-6094-0f6d-2fdc6b47774a,out of pocket,0,5
9992,576a8ef1-ffcf-9b2a-2f16-212469247e0b,30 seconds to mosh,1,5
9994,576b133d-4b1c-0245-f9e1-0cc36d7f7091,ff & the pancakes,1,5
10004,578160e5-f976-1742-888a-41bb54fd4534,ff & the pancakes,0,5
10013,578e12ea-dc94-3f92-ce58-f337d6464f54,30 seconds to mosh,0,5
10038,57c09e4d-2a6e-5ca2-ed10-29b6c97b6404,ycmyccastep7:cheeseawakens,0,5
10095,58301594-9723-d140-4ca8-18743b429864,30 seconds to mosh,1,5
10171,58b8d304-56ec-07c4-30ab-1003e33aeae4,ff & the pancakes,0,5
10206,59121898-ba07-8e2d-f88c-7b052e2d2fa3,30 seconds to mosh,0,5
10232,5940ca04-7188-e724-fb31-cbd584c8c441,ff & the pancakes,0,5
10233,5948a9d6-ee22-8719-f80f-26739d8265eb,out of pocket,0,5
10293,59d05c1b-656d-5d3a-eec2-98555ae765de,ff & the pancakes,1,5
10312,59ee9da7-21e7-2f39-334e-f3e8fbf408b3,30 seconds to mosh,0,5
10331,5a0bf934-a370-b557-a77d-27355db4cc26,ycmyccastep7:cheeseawakens,0,5
10352,5a458139-40c0-499a-f1cb-3ef9aabc7acf,chogall chocolate factory,1,5
10353,5a458139-40c0-499a-f1cb-3ef9aabc7acf,gold dragons,0,5
10367,5a872f55-ff8c-8d0e-8388-c947da80da97,ltk - we hate obj,0,5
10399,5ac0cd9e-22c6-e019-33bc-d5f0cdf5aec2,ff & the pancakes,0,5
10403,5ac9dae5-c4f3-cb23-a3dd-e018dc94a03d,beyonce gnolls,1,5
10404,5ac9dae5-c4f3-cb23-a3dd-e018dc94a03d,infernal misfits,0,5
10529,5be53ccf-e7e1-c40f-acdc-9399cfb00445,ltk - we hate obj,0,5
10581,5c752ffa-b924-1123-6632-bda2bbaad95e,ff & the pancakes,1,5
10592,5c93aa59-3988-3883-fad4-62488b304af9,ff & the pancakes,0,5
10596,5ca34c9f-8000-d792-de99-4ec43a9c6235,30 seconds to mosh,0,5
10680,5d66350e-761e-5fbc-5c84-dc741f626ffa,30 seconds to mosh,0,5
10685,5d6f75fb-d0c0-74e7-6126-7c05a426f7c4,out of pocket,0,5
10727,5de8a2bb-2994-7b84-8338-25cd8286f146,ycmyccastep7:cheeseawakens,0,5
10773,5e50c6f0-fd36-565f-0ad9-5f6fd1934e48,ff & the pancakes,0,5
